customerID,tenure,MonthlyCharges,TotalCharges,InternetService,Contract,Churn,TotalServicesUsed,ChurnProbability,PredictedChurn,RiskLevel,RetentionStrategy
7590-VHVEG,1,29.85,29.85,DSL,Month-to-month,No,1,0.7057049006058717,Yes,High Risk,Offer contract upgrade discount
5575-GNVDE,34,56.95,1889.5,DSL,One year,No,2,0.06187822889569006,No,Normal Risk,Continue regular engagement
3668-QPYBK,2,53.85,108.15,DSL,Month-to-month,Yes,2,0.32337223289797984,No,Normal Risk,Continue regular engagement
7795-CFOCW,45,42.3,1840.75,DSL,One year,No,3,0.05966729533380508,No,Normal Risk,Continue regular engagement
9237-HQITU,2,70.7,151.65,Fiber optic,Month-to-month,Yes,0,0.8879513078135303,Yes,High Risk,Offer contract upgrade discount
9305-CDSKC,8,99.65,820.5,Fiber optic,Month-to-month,Yes,3,0.8795839586267796,Yes,High Risk,Offer contract upgrade discount
1452-KIOVK,22,89.1,1949.4,Fiber optic,Month-to-month,No,2,0.3424944475520239,No,Normal Risk,Continue regular engagement
6713-OKOMC,10,29.75,301.9,DSL,Month-to-month,No,1,0.4967416250888434,No,Normal Risk,Continue regular engagement
7892-POOKP,28,104.8,3046.05,Fiber optic,Month-to-month,Yes,4,0.6330865872122937,Yes,Normal Risk,Continue regular engagement
6388-TABGU,62,56.15,3487.95,DSL,One year,No,2,0.032032063074405884,No,Normal Risk,Continue regular engagement
9763-GRSKD,13,49.95,587.45,DSL,Month-to-month,No,1,0.11696941989959593,No,Normal Risk,Continue regular engagement
7469-LKBCI,16,18.95,326.8,No,Two year,No,0,0.029803176406994297,No,Normal Risk,Continue regular engagement
8091-TTVAX,58,100.35,5681.1,Fiber optic,One year,No,3,0.26286895691202167,No,Normal Risk,Continue regular engagement
0280-XJGEX,49,103.7,5036.3,Fiber optic,Month-to-month,Yes,4,0.7066763408416912,Yes,High Risk,Offer contract upgrade discount
5129-JLPIS,25,105.5,2686.05,Fiber optic,Month-to-month,No,5,0.46866135474716136,No,Normal Risk,Continue regular engagement
3655-SNQYZ,69,113.25,7895.15,Fiber optic,Two year,No,6,0.028808914268828388,No,Normal Risk,Continue regular engagement
8191-XWSZG,52,20.65,1022.95,No,One year,No,0,0.023849709853714377,No,Normal Risk,Continue regular engagement
9959-WOFKT,71,106.7,7382.25,Fiber optic,Two year,No,4,0.17923891677535259,No,Normal Risk,Continue regular engagement
4190-MFLUW,10,55.2,528.35,DSL,Month-to-month,Yes,2,0.19412529661179792,No,Normal Risk,Continue regular engagement
4183-MYFRB,21,90.05,1862.9,Fiber optic,Month-to-month,No,3,0.6610885777100077,Yes,Normal Risk,Continue regular engagement
8779-QRDMV,1,39.65,39.65,DSL,Month-to-month,Yes,2,0.7160475640461612,Yes,High Risk,Offer contract upgrade discount
1680-VDCWW,12,19.8,202.25,No,One year,No,0,0.19571569349045204,No,Normal Risk,Continue regular engagement
1066-JKSGK,1,20.15,20.15,No,Month-to-month,Yes,0,0.3796970584845667,No,Normal Risk,Continue regular engagement
3638-WEABW,58,59.9,3505.1,DSL,Two year,No,2,0.01646217248230512,No,Normal Risk,Continue regular engagement
6322-HRPFA,49,59.6,2970.3,DSL,Month-to-month,No,3,0.018267520728591363,No,Normal Risk,Continue regular engagement
6865-JZNKO,30,55.3,1530.6,DSL,Month-to-month,No,2,0.31138713466771967,No,Normal Risk,Continue regular engagement
6467-CHFZW,47,99.35,4749.15,Fiber optic,Month-to-month,Yes,3,0.48746750140101164,No,Normal Risk,Continue regular engagement
8665-UTDHZ,1,30.2,30.2,DSL,Month-to-month,Yes,1,0.493670790994501,No,Normal Risk,Continue regular engagement
5248-YGIJN,72,90.25,6369.45,DSL,Two year,No,6,0.010624942454817501,No,Normal Risk,Continue regular engagement
8773-HHUOZ,17,64.7,1093.1,DSL,Month-to-month,Yes,2,0.3874904851169864,No,Normal Risk,Continue regular engagement
3841-NFECX,71,96.35,6766.95,Fiber optic,Two year,No,4,0.02276109450103614,No,Normal Risk,Continue regular engagement
4929-XIHVW,2,95.5,181.65,Fiber optic,Month-to-month,No,3,0.6823925131351128,Yes,Normal Risk,Continue regular engagement
6827-IEAUQ,27,66.15,1874.45,DSL,One year,No,4,0.015934708546894327,No,Normal Risk,Continue regular engagement
7310-EGVHZ,1,20.2,20.2,No,Month-to-month,No,0,0.5810512076077707,Yes,Normal Risk,Continue regular engagement
